paese,isrc,uri,danceability,energy,speechiness,acousticness,instrumentalness,valence,tempo;;;;;;;;;;;;;;;;;,all_genres
Argentina,USUG12401032,spotify:track:0mWVScJbxO3tbXuiZOxYZE,0.488,0.545,0.317,0.73,0.0046,0.301,160.096;;;;;;;;;;;;;;;;;,pop
Argentina,USUG12401031,spotify:track:2F3N9tdombb64aW6VtZOdo,0.546,0.36,0.0774,0.554,0.0,0.181,159.755;;;;;;;;;;;;;;;;;,pop
"Argentina,UYB282384010,spotify:track:35ttE4t8lQZA2vuCYDg4G7,""['trap argentino', 'trap latino', 'urbano latino']"",0.364,0.572,0.0341,0.758,0,0.514,80.363;;;;;;;;;;;;;;;;;",,,,,,,,,,
Argentina,USUG12401033,spotify:track:5og4Qzt92jJzVDkOtSEilb,0.414,0.716,0.134,0.388,0.0,0.448,79.274;;;;;;;;;;;;;;;;;,pop
"Argentina,CLPP22300109,spotify:track:1TyBUtMxdmRfXhW3MmbxtQ,""['trap argentino', 'trap triste']"",0.731,0.855,0.0513,0.0935,0,0.966,148.042;;;;;;;;;;;;;;;;;",,,,,,,,,,
Argentina,ARACN2400001,spotify:track:1905loqmX0pSFPMbA9rc1f,0.929,0.655,0.251,0.238,0.0,0.635,129.971;;;;;;;;;;;;;;;;;,
Argentina,USSD12300585,spotify:track:5f4mOETLngamMDTJnbF9s7,0.858,0.677,0.118,0.106,0.0,0.584,100.046;;;;;;;;;;;;;;;;;,pop argentino
Argentina,USSD12300584,spotify:track:6Es8Sk3xe1HiJ2MXCfHHwR,0.833,0.809,0.0381,0.0836,0.0,0.905,128.055;;;;;;;;;;;;;;;;;,pop argentino
"Argentina,USHR12447553,spotify:track:3eNenN5eoBwMRNPkmoyk81,""['latin pop', 'latin viral pop', 'pop argentino']"",0.643,0.787,0.027,0.104,0,0.659,111.933;;;;;;;;;;;;;;;;;",,,,,,,,,,
Argentina,ARF112300250,spotify:track:08809bzGs69SfjOFdeyssu,0.753,0.747,0.298,0.0718,0.0,0.934,179.993;;;;;;;;;;;;;;;;;,gaming dubstep
Australia,USUG12401028,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,0.675,0.397,0.0245,0.499,5.85e-06,0.319,95.988;;;;;;;;;;;;;;;;;,pop
Australia,USUG12401029,spotify:track:3NMrVbIVWT3fPXBj0rNDKG,0.595,0.421,0.0261,0.0518,1.56e-06,0.261,110.305;;;;;;;;;;;;;;;;;,pop
Australia,USUG12401030,spotify:track:05msZuGKP3OCUGQnvLBOf4,0.593,0.582,0.0285,0.165,0.0,0.436,97.079;;;;;;;;;;;;;;;;;,pop
Australia,USUG12401031,spotify:track:2F3N9tdombb64aW6VtZOdo,0.546,0.36,0.0774,0.554,0.0,0.181,159.755;;;;;;;;;;;;;;;;;,pop
Australia,USUG12401032,spotify:track:0mWVScJbxO3tbXuiZOxYZE,0.488,0.545,0.317,0.73,0.0046,0.301,160.096;;;;;;;;;;;;;;;;;,pop
Australia,USUG12401033,spotify:track:5og4Qzt92jJzVDkOtSEilb,0.414,0.716,0.134,0.388,0.0,0.448,79.274;;;;;;;;;;;;;;;;;,pop
Australia,USUG12401035,spotify:track:3ZVFcD8Wlw9T9klGqmJf9F,0.524,0.568,0.143,0.204,0.0,0.42,150.044;;;;;;;;;;;;;;;;;,pop
Australia,USUG12401040,spotify:track:4q5YezDOIPcoLr8R81x9qy,0.7,0.763,0.0513,0.147,0.0,0.226,130.018;;;;;;;;;;;;;;;;;,pop
Australia,USUG12401034,spotify:track:3fO566xJgwxIa3qGCGBvIC,0.303,0.489,0.0443,0.621,0.0,0.325,77.403;;;;;;;;;;;;;;;;;,pop
Australia,USUG12401037,spotify:track:36t6frENUtCYKuZus6aYDO,0.592,0.37,0.0495,0.307,0.0,0.249,119.87;;;;;;;;;;;;;;;;;,pop
Australia,USUG12401036,spotify:track:0W0iAC1VGlB82PI6elxFYf,0.625,0.421,0.0265,0.614,0.0,0.435,94.977;;;;;;;;;;;;;;;;;,pop
Australia,USUG12401039,spotify:track:6RSG1dKPV5gEvILwJb4QtS,0.613,0.262,0.0385,0.866,0.0,0.197,97.92;;;;;;;;;;;;;;;;;,pop
