Country,Track Name,Artists
AR,Kitchen Stove,Pozer
AR,MONTAGEM DIAMANTE ROSA - SLOWED,"vtze archive, Mc Ster"
AR,Lose Control,Teddy Swims
AR,Dono da Porsche (Bom Dia Princesa),MC Reino
AR,Sen Evlisin,Gülden Karaböcek
AR,Ve Haaniyaan,"Danny, Avvy Sra, Sagar"
AR,Whatever She Wants,Bryson Tiller
AR,Scared To Start,Michael Marcagi
AR,Praise Jah In The Moonlight,YG Marley
AR,Patadas de Ahogado / LATIN MAFIA - Rework,HUGEL
AR,X'CLUSIVO - REMIX,"Gonzy, SAIKO, Arcángel"
AR,VVS Switch,Pressure 9X19
AR,Deeper Well,Kacey Musgraves
AR,Saturn,SZA
AT,we can't be friends (wait for your love),Ariana Grande
AT,Beautiful Things,Benson Boone
AT,End of Beginning,Djo
AT,CARNIVAL,"¥$, Kanye West, Ty Dolla $ign, Rich The Kid, Playboi Carti"
AT,Lose Control,Teddy Swims
AT,greedy,Tate McRae
AT,Cruel Summer,Taylor Swift
AT,Gata Only,"FloyyMenor, Cris Mj"
AT,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp"
AT,TEXAS HOLD 'EM,Beyoncé
AT,My Love Mine All Mine,Mitski
AT,Stick Season,Noah Kahan
AT,LUNA,"Feid, ATL Jacob"
AT,La Diabla,Xavi
AT,Saturn,SZA
AT,"yes, and?",Ariana Grande
AT,redrum,21 Savage
AT,the boy is mine,Ariana Grande
AT,FRI(END)S,V
AT,FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti"
AT,Madonna,"Natanael Cano, Oscar Maydon"
AT,Lovin On Me,Jack Harlow
AT,I Wanna Be Yours,Arctic Monkeys
AT,LA FALDA,Myke Towers
AT,Unwritten,Natasha Bedingfield
AT,The Night We Met,Lord Huron
AT,Houdini,Dua Lipa
AT,Training Season,Dua Lipa
AT,Scared To Start,Michael Marcagi
AT,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto"
AT,I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves"
AT,Water,Tyla
AT,PERRO NEGRO,"Bad Bunny, Feid"
AT,La Víctima,Xavi
AT,Strangers,Kenya Grace
AT,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish
AT,Whatever She Wants,Bryson Tiller
AT,Starboy,"The Weeknd, Daft Punk"
AT,Like Crazy,Jimin
AT,Praise Jah In The Moonlight,YG Marley
AT,Lan,Zeynep Bastık
AT,QLONA,"KAROL G, Peso Pluma"
AT,bye,Ariana Grande
AT,eternal sunshine,Ariana Grande
AT,Standing Next to You,Jung Kook
AT,Flowers,Miley Cyrus
AT,intro (end of the world),Ariana Grande
AT,Popular (with Playboi Carti & Madonna),"The Weeknd, Playboi Carti, Madonna"
AT,Evergreen,Richy Mitch & The Coal Miners
AT,Austin,Dasha
AT,Mtg Quero Te Encontrar,"DJ JZ, Humberto & Ronaldo, Mc Mininin, Silvanno Salles, DJ LG PROD"
AT,End of Beginning,Djo
AT,smoke & a light,Ole 60
AT,She Know What She Wanted - Jersey Club Remix Slowed,"Godard, Ziahfyah"
AT,Maquillaje,"Renn, Yexel"
AT,Austin,Dasha
AT,Leaving the Lot,King Hendrick$
AT,Можно я с тобой,AP$ENT
AT,SC-9,Yahir Saldivar
AT,Kennedy'i Ben Vurdum,Wegh
AT,Blue Over You,Mason Ramsey
AT,Beautiful Things,Benson Boone
AT,✻H+3+ЯД✻7luCJIo0T6...,vyrval
AT,Tu és + Águas Purificadoras - Ao vivo,"fhop music, Débora Rabelo, Hamilton Rabelo"
AT,Wine Into Whiskey,Tucker Wetmore
AT,"Tshwala Bam (feat. S.N.E, EeQue)","TitoM, Yuppe, EeQue, S.N.E"
AT,Europapa,Joost
AT,Sadqay,"Aashir Wajahat, NAYEL, Nehaal Naseem"
AT,Gata Only,"FloyyMenor, Cris Mj"
AT,EL MATADOR (From the Netflix Rap Show “Nuova Scena”),Elmatadormc7
AT,Eva (feat. Tedua),"Kid Yugi, Tedua, Junior K"
AT,Belong Together,Mark Ambor
AT,100 MESSAGGI,Lazza
AT,¿Cómo Pasó?,Ela Taubert
AT,Accidente,Las Ligas Menores
AT,Qual é seu desejo?,"Tz da Coronel, Ryu, The Runner, Nagalli, Cúpula"
AT,Smart,LE SSERAFIM
AT,Stumblin' In,CYRIL
AT,CARNIVAL,"¥$, Kanye West, Ty Dolla $ign, Rich The Kid, Playboi Carti"
AT,Lilith,Kid Yugi
AT,Bling-Bang-Bang-Born,Creepy Nuts
AT,De 10 Mulher 11 É Maluca,"MC Saci, MC Fahah, DJ Sammer, Dj Lc"
AT,Yeah Glo!,GloRilla
AT,Little Bit Better,"Caleb Hearn, ROSIE"
AT,Irish Pub Song,The High Kings
AT,"ZEIT, DASS SICH WAS DREHT","$OHO BANI, Herbert Grönemeyer, Ericson"
AT,Kitchen Stove,Pozer
AT,MONTAGEM DIAMANTE ROSA - SLOWED,"vtze archive, Mc Ster"
AT,Lose Control,Teddy Swims
AT,Dono da Porsche (Bom Dia Princesa),MC Reino
AT,Sen Evlisin,Gülden Karaböcek
AT,Ve Haaniyaan,"Danny, Avvy Sra, Sagar"
AT,Whatever She Wants,Bryson Tiller
AT,Scared To Start,Michael Marcagi
AT,Praise Jah In The Moonlight,YG Marley
AT,Patadas de Ahogado / LATIN MAFIA - Rework,HUGEL
AT,X'CLUSIVO - REMIX,"Gonzy, SAIKO, Arcángel"
AT,VVS Switch,Pressure 9X19
AT,Deeper Well,Kacey Musgraves
AT,Saturn,SZA
AU,we can't be friends (wait for your love),Ariana Grande
AU,Beautiful Things,Benson Boone
AU,End of Beginning,Djo
AU,CARNIVAL,"¥$, Kanye West, Ty Dolla $ign, Rich The Kid, Playboi Carti"
AU,Lose Control,Teddy Swims
AU,greedy,Tate McRae
AU,Cruel Summer,Taylor Swift
AU,Gata Only,"FloyyMenor, Cris Mj"
AU,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp"
AU,TEXAS HOLD 'EM,Beyoncé
AU,My Love Mine All Mine,Mitski
AU,Stick Season,Noah Kahan
AU,LUNA,"Feid, ATL Jacob"
AU,La Diabla,Xavi
AU,Saturn,SZA
AU,"yes, and?",Ariana Grande
AU,redrum,21 Savage
AU,the boy is mine,Ariana Grande
AU,FRI(END)S,V
AU,FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti"
AU,Madonna,"Natanael Cano, Oscar Maydon"
AU,Lovin On Me,Jack Harlow
AU,I Wanna Be Yours,Arctic Monkeys
AU,LA FALDA,Myke Towers
AU,Unwritten,Natasha Bedingfield
AU,The Night We Met,Lord Huron
AU,Houdini,Dua Lipa
AU,Training Season,Dua Lipa
AU,Scared To Start,Michael Marcagi
AU,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto"
AU,I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves"
AU,Water,Tyla
AU,PERRO NEGRO,"Bad Bunny, Feid"
AU,La Víctima,Xavi
AU,Strangers,Kenya Grace
AU,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish
AU,Whatever She Wants,Bryson Tiller
AU,Starboy,"The Weeknd, Daft Punk"
AU,Like Crazy,Jimin
AU,Praise Jah In The Moonlight,YG Marley
AU,Lan,Zeynep Bastık
AU,QLONA,"KAROL G, Peso Pluma"
AU,bye,Ariana Grande
AU,eternal sunshine,Ariana Grande
AU,Standing Next to You,Jung Kook
AU,Flowers,Miley Cyrus
AU,intro (end of the world),Ariana Grande
AU,Popular (with Playboi Carti & Madonna),"The Weeknd, Playboi Carti, Madonna"
AU,Evergreen,Richy Mitch & The Coal Miners
AU,Austin,Dasha
AU,Mtg Quero Te Encontrar,"DJ JZ, Humberto & Ronaldo, Mc Mininin, Silvanno Salles, DJ LG PROD"
AU,End of Beginning,Djo
AU,smoke & a light,Ole 60
AU,She Know What She Wanted - Jersey Club Remix Slowed,"Godard, Ziahfyah"
AU,Maquillaje,"Renn, Yexel"
AU,Austin,Dasha
AU,Leaving the Lot,King Hendrick$
AU,Можно я с тобой,AP$ENT
AU,SC-9,Yahir Saldivar
AU,Kennedy'i Ben Vurdum,Wegh
AU,Blue Over You,Mason Ramsey
AU,Beautiful Things,Benson Boone
AU,✻H+3+ЯД✻7luCJIo0T6...,vyrval
AU,Tu és + Águas Purificadoras - Ao vivo,"fhop music, Débora Rabelo, Hamilton Rabelo"
AU,Wine Into Whiskey,Tucker Wetmore
AU,"Tshwala Bam (feat. S.N.E, EeQue)","TitoM, Yuppe, EeQue, S.N.E"
AU,Europapa,Joost
AU,Sadqay,"Aashir Wajahat, NAYEL, Nehaal Naseem"
AU,Gata Only,"FloyyMenor, Cris Mj"
